1 -4.82,2 0.30,3 6.52,4 -6.25,5 -93.15,6 0.00,7 11.80,8 -27.38,9 56.97
1 -5.18,2 0.31,3 6.44,4 -47.13,5 -88.25,6 0.00,7 11.82,8 -27.48,9 57.30
1 -5.53,2 0.32,3 6.10,4 -156.67,5 -82.12,6 0.00,7 11.74,8 -27.68,9 57.62
1 -5.86,2 0.33,3 5.73,4 10.83,5 -75.99,6 0.00,7 11.73,8 -27.79,9 57.96
1 -6.17,2 0.34,3 5.95,4 -153.88,5 -71.09,6 0.00,7 11.60,8 -27.80,9 58.28
1 -6.47,2 0.34,3 6.10,4 27.11,5 -64.96,6 0.00,7 11.45,8 -27.79,9 58.67
1 -6.75,2 0.35,3 5.83,4 -27.27,5 -58.83,6 0.00,7 11.46,8 -27.71,9 59.02
1 -7.02,2 0.36,3 5.64,4 115.71,5 -53.93,6 0.00,7 11.44,8 -27.62,9 59.39
1 -7.26,2 0.37,3 5.90,4 -57.58,5 -47.80,6 0.00,7 11.58,8 -27.61,9 59.76
1 -7.50,2 0.37,3 6.08,4 120.95,5 -41.67,6 0.00,7 11.78,8 -27.48,9 60.29
1 -7.67,2 0.37,3 6.21,4 137.69,5 -36.77,6 0.00,7 11.51,8 -27.45,9 60.70
1 -7.93,2 0.37,5 -30.64,6 0.00,7 11.64,8 -27.58,9 61.17,"[""0.00"", ""0.00"", ""0.02"", ""0.04"", ""-9.73"", ""2.32"", ""-76.57"", ""0.22"", ""88.61"", -6.19348, 106.84858]","[""0.00"", ""0.00"", ""0.05"", ""0.04"", ""-9.66"", ""2.29"", ""-76.68"", ""0.26"", ""88.83"", -6.19348, 106.84858]"
1 -8.09,2 0.38,3 5.96,3 6.21,4 -152.05,5 -25.73,6 0.00,7 11.74,8 -27.58
1 -8.24,2 0.38,3 6.18,4 4.41,4 5.19,5 -19.60,6 0.00,7 11.75,8 -27.70
1 -8.37,2 0.39,3 6.38,4 151.85,5 -13.47,6 0.00,7 11.67,8 -27.61,9 62.42
1 -8.49,2 0.40,3 6.30,4 93.79,5 -8.57,6 0.00,7 11.67,8 -27.71,9 62.79
1 -8.59,2 0.41,3 6.47,4 -30.46,5 -2.44,6 0.00,7 11.71,8 -27.75,9 63.09
1 -8.67,2 0.41,3 6.78,4 80.65,5 3.69,6 0.00,7 11.97,8 -27.76,9 63.51
1 -8.73,2 0.42,3 6.66,4 -92.64,5 8.60,6 0.00,7 11.93,8 -27.68,9 64.01
1 -8.78,2 0.43,3 6.49,4 -63.67,5 14.72,6 0.00,7 11.89,8 -27.63,9 64.36
1 -8.80,2 0.44,3 6.11,4 -46.93,5 20.85,6 0.00,7 11.83,8 -27.70,9 64.85
1 -8.80,2 0.45,3 6.32,4 98.50,5 25.76,6 0.00,7 11.85,8 -27.67,9 65.37
1 -8.79,2 0.45,3 6.36,4 -99.30,5 31.89,6 0.00,7 11.96,8 -27.89,9 65.71
1 -8.76,2 0.46,3 6.62,4 90.26,5 36.79,6 0.00,7 11.92,8 -27.93,9 66.23
1 -8.71,2 0.47,3 6.88,4 65.30,5 42.92,6 0.00,7 11.92,8 -27.91,9 66.71
1 -8.64,2 0.48,3 7.14,4 -8.69,5 49.05,6 0.00,7 11.87,8 -27.91,9 67.19
1 -8.81,2 0.47,3 7.27,4 -142.73,5 53.95,6 0.00,7 11.74,8 -27.79,9 67.59
1 -9.07,2 0.47,5 60.08,6 0.00,7 11.72,8 -27.86,9 68.09,"[""0.00"", ""0.00"", ""0.00"", ""0.02"", ""-9.74"", ""2.26"", ""-76.92"", ""0.13"", ""89.20"", -6.19348, 106.84858]","[""0.00"", ""0.00"", ""0.05"", ""0.09"", ""-9.71"", ""2.32"", ""-76.54"", ""0.51"", ""87.86"", -6.19348, 106.84858]"
1 -8.87,2 0.48,3 7.28,3 7.63,4 -81.81,5 66.21,6 0.00,7 11.82,8 -27.74
1 -8.67,2 0.49,3 7.29,4 -99.42,5 71.11,6 0.00,7 11.86,8 -27.72,9 69.24
1 -8.45,2 0.49,3 7.35,4 22.70,5 77.24,6 0.00,7 11.82,8 -27.88,9 69.70
1 -8.22,2 0.50,3 7.03,4 -52.51,5 83.37,6 0.00,7 11.64,8 -27.85,9 69.93
1 -7.96,2 0.51,3 6.79,4 138.27,5 88.27,6 0.00,7 11.65,8 -27.79,9 70.25
1 -7.69,2 0.52,3 7.09,4 -136.75,5 94.40,6 0.00,7 11.77,8 -27.68,9 70.62
1 -7.40,2 0.52,3 7.02,4 44.23,5 100.53,6 0.00,7 11.84,8 -27.84,9 71.12
1 -7.10,2 0.53,3 7.17,4 -26.09,5 105.44,6 0.00,7 12.00,8 -27.88,9 71.52
1 -6.78,2 0.54,3 6.97,4 130.38,5 111.57,6 0.00,7 12.09,8 -27.84,9 71.91
1 -6.44,2 0.55,3 6.67,4 -24.52,5 116.47,6 0.00,7 12.03,8 -27.80,9 72.18
1 -6.08,2 0.56,3 7.03,4 -78.90,5 122.60,6 0.00,7 11.79,8 -27.92,9 72.60
1 -5.70,2 0.56,3 7.32,4 -81.79,5 128.73,6 0.00,7 11.87,8 -28.04,9 72.97
1 -5.30,2 0.57,3 7.53,4 -155.78,5 133.63,6 0.00,7 11.94,8 -28.04,9 73.26
1 -4.88,2 0.58,3 7.47,4 -42.21,5 139.76,6 0.00,7 11.93,8 -28.05,9 73.72
1 -5.05,2 0.57,3 7.60,4 -91.69,5 145.89,6 0.00,7 12.08,8 -28.03,9 74.14
1 -5.31,4 146.93,5 150.79,6 0.00,7 12.07,8 -27.97,9 74.68,"[""0.00"", ""0.00"", ""0.02"", ""0.01"", ""-9.67"", ""2.23"", ""-77.03"", ""0.06"", ""89.13"", -6.19348, 106.84858]","[""0.00"", ""0.00"", ""0.02"", ""0.06"", ""-9.70"", ""2.27"", ""-76.82"", ""0.33"", ""88.31"", -6.19348, 106.84858]"
1 -4.84,2 0.57,2 0.58,3 7.60,4 54.54,5 -156.89,6 0.00,7 12.00,8 -28.00
1 -4.32,2 0.60,3 7.29,3 7.50,4 30.80,5 -150.76,6 0.00,7 12.04,8 -28.07
1 -3.80,2 0.61,3 7.40,4 105.15,5 -145.86,6 0.00,7 12.01,8 -28.10,9 75.93
1 -3.26,2 0.62,3 7.73,4 -55.88,5 -139.73,6 0.00,7 11.94,8 -28.17,9 76.32
1 -2.71,2 0.63,3 8.11,4 -139.68,5 -133.60,6 0.00,7 11.98,8 -28.28,9 76.63
1 -2.12,2 0.64,3 8.36,4 -26.12,5 -128.70,6 0.00,7 11.91,8 -28.32,9 77.09
1 -1.52,2 0.65,3 8.04,4 -21.64,5 -122.57,6 0.00,7 11.85,8 -28.32,9 77.59
1 -0.90,2 0.67,3 7.79,4 -139.76,5 -117.67,6 0.00,7 11.92,8 -28.36,9 77.97
1 -0.26,2 0.68,3 7.86,4 1.99,5 -111.54,6 0.00,7 11.89,8 -28.35,9 78.43
1 0.40,2 0.69,3 7.94,4 -60.97,5 -105.41,6 0.00,7 11.91,8 -28.43,9 78.90
1 1.07,2 0.70,3 7.82,4 -155.80,5 -100.50,6 0.00,7 11.86,8 -28.30,9 79.30
1 1.76,2 0.71,3 8.03,4 104.86,5 -94.37,6 0.00,7 11.82,8 -28.37,9 79.72
1 1.08,2 0.72,3 8.39,4 41.90,5 -88.25,6 0.00,7 11.78,8 -28.38,9 80.09
1 0.41,2 0.74,3 8.13,4 -28.41,5 -83.34,6 0.00,7 11.81,8 -28.30,9 80.47
1 0.24,2 0.73,3 8.26,4 -140.41,5 -77.21,6 0.00,7 11.81,8 -28.32,9 80.72
1 -0.02,4 -30.51,5 -71.08,6 0.00,7 11.72,8 -28.39,9 81.28,"[""0.00"", ""0.00"", ""0.01"", ""0.01"", ""-9.66"", ""2.29"", ""-76.64"", ""0.06"", ""89.20"", -6.19348, 106.84858]","[""0.00"", ""0.00"", ""0.01"", ""0.08"", ""-9.66"", ""2.31"", ""-76.55"", ""0.45"", ""87.95"", -6.19348, 106.84858]"
1 -0.62,2 0.73,2 0.74,3 8.27,4 83.06,5 -66.18,6 0.00,7 11.66,8 -28.43
1 -1.22,2 0.75,3 8.25,3 8.28,4 -106.17,5 -60.05,6 0.00,7 11.65,8 -28.48
1 -1.81,2 0.76,3 7.90,4 -117.66,5 -53.92,6 0.00,7 11.60,8 -28.53,9 82.43
1 -2.38,2 0.78,3 8.00,4 30.22,5 -49.02,6 0.00,7 11.51,8 -28.56,9 82.83
1 -2.93,2 0.79,3 7.67,4 -85.45,5 -42.89,6 0.00,7 11.62,8 -28.43,9 83.22
1 -3.46,2 0.80,4 104.11,5 -37.99,6 0.00,7 11.48,8 -28.54,9 83.59,"[""0.00"", ""0.00"", ""0.00"", ""0.06"", ""-9.70"", ""2.32"", ""-76.56"", ""0.32"", ""88.45"", -6.19348, 106.84858]"
1 -3.98,2 0.81,3 7.72,4 -97.37,5 -31.86,6 0.00,7 11.61,8 -28.59,9 83.94
1 -4.49,2 0.82,3 7.83,4 19.87,5 -25.73,6 0.00,7 11.70,8 -28.51,9 84.29
1 -4.73,2 0.83,3 7.67,4 -127.67,5 -20.82,6 0.00,7 11.42,8 -28.46,9 84.74
1 -4.95,2 0.85,3 7.51,4 -102.12,5 -14.70,6 0.00,7 11.55,8 -28.50,9 85.16
1 -5.15,2 0.86,3 7.89,4 131.57,5 -8.57,6 0.00,7 11.51,8 -28.50,9 85.53
1 -5.34,2 0.87,3 7.71,4 19.58,5 -3.66,6 0.00,7 11.42,8 -28.48,9 86.02
1 -5.51,2 0.88,3 7.62,4 -119.38,5 2.47,6 0.00,7 11.49,8 -28.52,9 86.38
1 -5.66,2 0.89,3 7.52,4 131.47,5 8.60,6 0.00,7 11.61,8 -28.51,9 86.83
1 -5.82,2 0.89,3 7.23,4 51.35,5 13.50,6 0.00,7 11.53,8 -28.75,9 87.26
1 -6.09,2 0.89,3 7.36,4 -97.40,5 19.63,6 0.00,7 11.43,8 -28.72,9 87.77
1 -6.18,2 0.90,3 7.37,4 -77.02,5 25.76,6 0.00,7 11.25,8 -28.60,9 88.22
1 -6.26,2 0.91,3 7.15,4 -144.88,5 30.66,6 0.00,7 11.25,8 -28.62,9 88.70
1 -6.31,2 0.92,3 7.28,4 112.10,5 36.79,6 0.00,7 11.24,8 -28.57,9 89.00
1 -6.34,2 0.93,3 7.43,4 38.13,5 42.92,6 0.00,7 11.21,8 -28.69,9 89.34
1 -6.35,2 0.94,3 7.50,4 -156.00,5 47.83,6 0.00,7 11.26,8 -28.75,9 89.76
1 -6.35,2 0.96,3 7.81,4 64.21,5 53.96,6 0.00,7 11.21,8 -28.73,9 90.21
1 -6.33,2 0.97,3 7.78,4 153.25,5 60.08,6 0.00,7 11.32,8 -28.85,9 90.66
1 -6.29,2 0.98,3 7.50,4 -53.14,5 64.99,6 0.00,7 11.26,8 -28.93,9 91.06
1 -6.24,2 0.99,3 7.35,4 127.85,5 71.12,6 0.00,7 11.20,8 -28.90,9 91.36
1 -6.17,2 1.00,3 7.50,4 59.98,5 76.02,6 0.00,7 11.18,8 -28.92,9 91.80
1 -6.08,2 1.01,3 7.86,4 -54.46,5 82.15,6 0.00,7 11.19,8 -28.93,9 92.24
1 -5.96,2 1.03,3 8.23,4 126.52,5 88.28,6 0.00,7 11.13,8 -28.90,9 92.61
1 -5.82,2 1.04,3 8.13,4 30.48,5 93.18,6 0.00,7 11.22,8 -28.82,9 93.03
1 -5.67,2 1.05,3 8.43,4 -133.00,5 99.31,6 0.00,7 11.16,8 -28.78,9 93.39
1 -5.84,2 1.04,3 8.58,4 -61.12,5 105.44,6 0.00,7 11.31,8 -28.74,9 93.90
1 -6.10,3 8.71,4 -126.52,5 110.34,6 0.00,7 11.49,8 -28.63,9 94.31,"[""0.00"", ""0.00"", ""0.03"", ""0.10"", ""-9.73"", ""2.32"", ""-76.56"", ""0.59"", ""87.12"", -6.19348, 106.84858]"
1 -5.90,2 1.04,2 1.05,3 8.71,4 113.29,5 116.47,6 0.00,7 11.37,8 -28.60
1 -5.70,2 1.07,3 9.04,4 88.33,5 122.60,6 0.00,7 11.51,8 -28.70,9 95.16
1 -5.48,2 1.08,3 9.00,4 -37.17,5 127.51,6 0.00,7 11.54,8 -28.70,9 95.42
1 -5.25,2 1.09,3 9.01,4 -120.97,5 133.63,6 0.00,7 11.50,8 -28.76,9 95.85
1 -5.00,2 1.10,3 9.05,4 -6.19,5 138.54,6 0.00,7 11.42,8 -28.68,9 96.30
1 -4.71,2 1.11,3 8.80,4 -22.56,5 144.67,6 0.00,7 11.38,8 -28.70,9 96.66
1 -4.40,2 1.12,3 8.96,4 37.08,5 150.80,6 0.00,7 11.55,8 -28.66,9 97.11
1 -4.08,2 1.14,3 8.86,4 -24.66,5 155.70,6 0.00,7 11.38,8 -28.69,9 97.52
1 -3.74,3 8.65,4 -132.97,5 -151.98,6 0.00,7 11.22,8 -28.77,9 97.95,"[""0.00"", ""0.00"", ""0.01"", ""0.07"", ""-9.72"", ""2.25"", ""-76.95"", ""0.42"", ""87.89"", -6.19348, 106.84858]"
1 -3.39,2 1.15,3 9.02,4 128.92,5 -145.85,6 0.00,7 11.35,8 -28.72,9 98.25
1 -3.02,2 1.16,3 8.85,4 -5.14,5 -140.95,6 0.00,7 11.28,8 -28.56,9 98.72
1 -2.62,2 1.17,3 8.61,4 -102.42,5 -134.82,6 0.00,7 11.32,8 -28.62,9 99.00
1 -2.21,2 1.18,3 8.50,4 82.24,5 -128.69,6 0.00,7 11.33,8 -28.63,9 99.35
1 -1.79,2 1.19,3 8.58,4 -5.24,5 -123.79,6 0.00,7 11.47,8 -28.51,9 99.79
1 -1.96,2 1.21,3 8.24,4 -139.30,5 -117.66,6 0.00,7 11.46,8 -28.49,9 100.20
1 -2.23,2 1.20,3 8.37,4 106.69,5 -111.53,6 0.00,7 11.57,8 -28.59,9 100.64
1 -1.74,2 1.20,3 8.37,4 -126.68,5 -106.63,6 0.00,7 11.52,8 -28.41,9 101.01
1 -1.26,2 1.22,3 8.19,4 -57.26,5 -100.50,6 0.00,7 11.62,8 -28.51,9 101.47
1 -0.76,2 1.23,3 8.37,4 -139.85,5 -95.60,6 0.00,7 11.60,8 -28.49,9 101.87
1 -0.25,2 1.25,3 8.18,4 -21.39,5 -89.47,6 0.00,7 11.77,8 -28.58,9 102.35
1 0.28,2 1.26,3 7.84,4 98.30,5 -83.34,6 0.00,7 11.66,8 -28.48,9 102.80
1 0.83,2 1.28,3 7.71,4 -77.44,5 -78.43,6 0.00,7 11.70,8 -28.54,9 103.26
1 1.39,2 1.30,2 1.31,3 7.51,4 101.09,5 -72.30,6 0.00,7 11.99,8 -28.57
1 1.97,2 1.33,3 7.38,3 7.45,4 -115.10,5 -66.18,6 0.00,7 12.00,8 -28.44
1 2.58,2 1.34,3 7.55,4 137.78,4 96.53,5 -61.27,6 0.00,7 12.04,8 -28.56
1 3.21,2 1.36,3 7.73,4 51.53,5 -49.01,5 -55.14,6 0.00,7 12.03,8 -28.75
1 3.86,2 1.37,3 7.50,4 -84.98,5 -44.11,6 0.00,6 0.00,7 11.95,8 -28.76
1 4.53,2 1.39,3 7.50,4 89.87,5 -37.98,6 0.00,7 11.95,7 12.13,8 -28.68
1 5.21,2 1.40,3 7.36,4 -80.96,5 -33.08,6 0.00,7 12.02,8 -28.72,8 -28.73
1 4.51,2 1.42,3 7.66,4 -16.44,5 -26.95,6 0.00,7 12.16,8 -28.68,9 106.34
1 4.08,1 4.35,2 1.41,3 7.79,4 -114.93,5 -20.82,6 0.00,7 12.11,8 -28.64
1 3.46,2 1.41,2 1.43,3 7.79,4 -29.55,5 -15.92,6 0.00,7 12.19,8 -28.71
1 2.88,2 1.44,3 7.41,3 7.54,4 70.53,5 -9.79,6 0.00,7 12.04,8 -28.72
1 2.30,2 1.46,3 7.91,4 154.22,4 79.91,5 -3.66,6 0.00,7 12.15,8 -28.70
1 1.73,2 1.48,3 7.99,4 -87.71,5 1.25,5 7.38,6 0.00,7 12.17,8 -28.59
1 1.18,2 1.49,3 8.08,4 132.50,5 13.51,6 0.00,6 0.00,7 12.20,8 -28.77
1 0.63,2 1.51,3 8.16,4 80.56,5 18.41,6 0.00,7 12.43,7 12.56,8 -28.96
1 0.10,2 1.52,3 8.10,4 13.92,5 24.54,6 0.00,7 12.68,8 -28.88,8 -29.29
1 -0.42,2 1.54,3 8.00,4 128.70,5 29.44,6 0.00,7 12.66,8 -29.18,9 110.48
1 -0.93,1 -1.44,2 1.55,3 7.81,4 15.47,5 35.57,6 0.00,7 12.89,8 -29.25
1 -1.93,2 1.57,2 1.58,3 7.67,4 48.12,5 41.70,6 0.00,7 13.01,8 -29.37
1 -2.38,2 1.60,3 7.83,3 8.16,4 -133.75,5 46.61,6 0.00,7 12.92,8 -29.22
1 -2.82,2 1.62,3 8.02,4 133.84,4 52.15,5 52.73,6 0.00,7 12.86,8 -29.17
1 -3.25,2 1.63,3 8.19,4 -100.74,5 58.86,5 63.77,6 0.00,7 13.02,8 -29.20
1 -3.42,2 1.62,3 8.32,4 -129.36,5 69.90,6 0.00,6 0.00,7 12.99,8 -29.08
1 -3.68,2 1.62,3 8.32,4 -8.47,5 76.03,6 0.00,7 12.84,7 12.84,8 -28.90
1 -4.05,2 1.64,3 8.43,4 70.78,5 80.93,6 0.00,7 12.75,8 -28.77,8 -28.84
1 -4.41,2 1.66,3 8.77,4 108.33,5 87.06,6 0.00,7 12.82,8 -28.77,9 114.90
1 -4.75,1 -5.07,2 1.67,3 8.94,4 41.70,5 93.19,6 0.00,7 12.77,8 -28.76
1 -5.36,2 1.69,2 1.70,3 8.75,4 109.90,5 98.09,6 0.00,7 12.76,8 -28.60
1 -5.64,2 1.72,3 8.79,3 8.99,4 -24.15,5 104.22,6 0.00,7 12.75,8 -28.55
1 -5.89,2 1.73,3 8.97,4 28.12,4 62.00,5 109.12,6 0.00,7 12.79,8 -28.47
1 -6.16,2 1.75,3 9.00,4 -144.41,5 115.25,5 121.38,6 0.00,7 12.83,8 -28.49
1 -6.42,2 1.76,3 9.37,4 -71.30,5 126.28,6 0.00,6 0.00,7 12.85,8 -28.50
1 -6.66,2 1.78,3 9.72,4 -37.43,5 132.41,6 0.00,7 12.79,7 12.83,8 -28.45
1 -6.87,2 1.80,3 9.46,4 -5.99,5 138.54,6 0.00,7 12.89,8 -28.47,8 -28.50
1 -7.06,2 1.81,3 9.12,4 117.38,5 143.45,6 0.00,7 12.73,8 -28.38,9 119.63
1 -7.24,1 -7.42,2 1.83,3 9.46,4 -107.39,5 149.58,6 0.00,7 12.64,8 -28.19
1 -7.59,2 1.84,2 1.84,3 9.55,4 149.58,5 155.70,6 0.00,7 12.65,8 -28.09
1 -7.85,2 1.84,3 9.68,3 9.68,4 -26.13,5 -153.20,6 0.00,7 12.68,8 -28.20
1 -7.96,2 1.85,3 9.47,4 -134.45,4 -63.80,5 -147.08,6 0.00,7 12.36,8 -28.34
1 -8.05,2 1.87,3 9.54,4 8.08,5 -136.04,5 -142.17,6 0.00,7 12.33,8 -28.29
1 -8.13,2 1.88,3 9.24,4 87.32,5 -129.91,6 0.00,6 0.00,7 12.25,8 -28.18
1 -8.19,2 1.90,3 8.90,4 -132.55,5 -125.01,6 0.00,7 12.19,7 12.21,8 -28.15
1 -8.23,2 1.91,3 8.54,4 28.82,5 -118.88,6 0.00,7 12.17,8 -28.19,8 -28.20
1 -8.27,2 1.93,3 8.79,4 0.17,5 -112.75,6 0.00,7 12.14,8 -28.32,9 123.87
1 -8.27,1 -8.28,2 1.94,3 8.78,4 135.79,5 -107.85,6 0.00,7 12.29,8 -28.44
1 -8.25,2 1.96,2 1.98,3 8.41,4 90.01,5 -101.72,6 0.00,7 12.31,8 -28.55
1 -8.20,2 1.99,3 8.31,3 8.53,4 -90.63,5 -95.59,6 0.00,7 12.31,8 -28.52
1 -8.14,2 2.01,3 8.43,4 -109.90,4 45.00,5 -90.69,6 0.00,7 12.24,8 -28.45
1 -8.07,2 2.02,3 8.15,4 -24.54,5 -79.66,5 -84.56,6 0.00,7 12.16,8 -28.62
1 -7.97,2 2.04,3 7.90,4 150.31,5 -73.53,6 0.00,6 0.00,7 12.14,8 -28.56
1 -7.87,2 2.06,3 7.84,4 -98.98,5 -67.40,6 0.00,7 12.00,7 12.12,8 -28.53
1 -8.04,2 2.05,3 7.97,4 138.41,5 -62.49,6 0.00,7 11.98,8 -28.41,8 -28.51
1 -8.30,2 2.05,3 7.97,4 -139.09,5 -56.36,6 0.00,7 12.00,8 -28.42,9 127.66
1 -7.97,1 -8.13,2 2.07,3 7.64,4 23.52,5 -50.24,6 0.00,7 12.01,8 -28.40
1 -7.79,2 2.09,2 2.11,3 7.26,4 -97.08,5 -45.33,6 0.00,7 12.04,8 -28.35
1 -7.60,2 2.13,3 7.11,3 7.15,4 -36.23,5 -39.20,6 0.00,7 12.04,8 -28.36
1 -7.39,2 2.15,3 7.39,4 -43.25,4 77.33,5 -33.07,6 0.00,7 12.20,8 -28.42
1 -7.17,2 2.17,3 7.60,4 80.12,5 -22.04,5 -28.17,6 0.00,7 11.99,8 -28.30
1 -6.93,2 2.19,3 7.67,4 -129.94,5 -17.14,6 0.00,6 0.00,7 12.03,8 -28.28
1 -6.67,2 2.21,3 7.65,4 11.81,5 -11.01,6 0.00,7 12.03,7 12.03,8 -28.46
1 -6.40,2 2.23,3 7.41,4 33.43,5 -4.88,6 0.00,7 12.03,8 -28.54,8 -28.64
1 -6.11,2 2.25,3 7.23,4 113.89,5 0.03,6 0.00,7 12.33,8 -28.71,9 131.86
1 -5.46,1 -5.79,2 2.26,3 7.56,4 -4.22,5 6.16,6 0.00,7 12.38,8 -28.77
1 -5.11,2 2.28,2 2.30,3 7.43,4 77.47,5 12.29,6 0.00,7 12.67,8 -28.73
1 -4.75,2 2.32,3 7.37,3 7.47,4 -133.82,5 17.19,6 0.00,7 12.62,8 -28.88
1 -4.92,2 2.32,3 7.49,4 104.77,4 35.69,5 23.32,6 0.00,7 12.47,8 -29.12
1 -5.18,2 2.32,3 7.50,4 -154.77,5 29.45,5 34.35,6 0.00,7 12.36,8 -29.05
1 -4.78,2 2.34,3 7.29,4 -19.15,5 40.48,6 0.00,6 0.00,7 12.26,8 -29.10
1 -4.36,2 2.36,3 7.08,4 -31.85,5 46.61,6 0.00,7 12.43,7 12.54,8 -29.02
1 -3.92,2 2.37,3 6.90,4 95.20,5 51.51,6 0.00,7 12.57,8 -28.94,8 -29.06
1 -3.45,2 2.39,3 6.75,4 49.42,5 57.64,6 0.00,7 12.71,8 -29.01,9 136.39
1 -2.45,1 -2.96,2 2.41,3 6.50,4 40.40,5 62.55,6 0.00,7 12.70,8 -29.01
1 -1.92,2 2.43,2 2.45,3 6.18,4 -104.70,5 68.68,6 0.00,7 12.59,8 -29.02
1 -1.38,2 2.47,3 6.22,3 6.39,4 35.83,5 74.80,6 0.00,7 12.62,8 -29.12
1 -0.84,2 2.49,3 6.35,4 120.73,4 156.74,5 79.71,6 0.00,7 12.65,8 -29.12
1 -0.29,2 2.51,3 6.36,4 -116.30,5 85.84,5 91.97,6 0.00,7 12.77,8 -29.16
1 0.28,2 2.53,3 6.13,4 -8.87,5 96.87,6 0.00,6 0.00,7 12.35,8 -29.20
1 0.86,2 2.55,3 5.83,4 33.60,5 103.00,6 0.00,7 12.22,7 12.26,8 -29.17
1 1.49,2 2.57,3 6.20,4 22.15,5 109.13,6 0.00,7 12.30,8 -29.09,8 -29.10
1 2.15,2 2.59,3 6.28,4 -114.35,5 114.03,6 0.00,7 12.27,8 -29.09,9 140.73
1 1.72,1 1.98,2 2.58,3 6.41,4 -14.28,5 120.16,6 0.00,7 12.11,8 -29.05
1 2.41,2 2.58,2 2.60,3 6.42,4 51.46,5 125.06,6 0.00,7 11.95,8 -29.13
1 1.72,2 2.62,3 6.44,3 6.76,4 115.98,5 131.19,6 0.00,7 11.98,8 -29.10
1 1.05,2 2.64,3 6.79,4 -41.37,4 110.20,5 137.32,6 0.00,7 11.97,8 -29.17
1 0.39,2 2.66,3 7.15,4 -64.32,5 142.23,5 148.35,6 0.00,7 11.97,8 -29.04
1 -0.25,2 2.68,3 6.85,4 13.69,5 154.48,6 0.00,6 0.00,7 11.91,8 -28.94
1 -0.87,2 2.70,3 6.50,4 -106.88,5 -154.43,6 0.00,7 11.91,7 11.97,8 -29.07
1 -1.46,2 2.72,3 6.74,4 -103.63,5 -148.30,6 0.00,7 11.91,8 -28.89,8 -29.09
1 -2.05,2 2.74,3 6.89,4 -31.77,5 -142.17,6 0.00,7 12.06,8 -28.92,9 145.02
1 -2.63,2 2.76,3 6.67,4 26.63,5 -137.26,6 0.00,7 12.21,8 -28.85,9 146.04
1 -3.19,2 2.78,3 6.76,4 -131.94,5 -131.14,6 0.00,7 12.20,8 -28.97,9 146.55
1 -3.73,2 2.80,3 6.61,4 -62.52,5 -125.01,6 0.00,7 12.42,8 -29.05,9 146.87
1 -4.25,2 2.82,3 6.96,4 -38.45,5 -120.10,6 0.00,7 12.35,8 -29.03,9 147.29
1 -4.76,2 2.84,3 6.77,4 75.12,5 -113.97,6 0.00,7 12.37,8 -28.89,9 147.72
1 -5.26,2 2.85,3 7.05,4 -134.95,5 -109.07,6 0.00,7 12.35,8 -28.93,9 148.01
1 -5.43,2 2.85,3 7.18,4 85.28,5 -102.94,6 0.00,7 12.31,8 -28.75,9 148.48
1 -5.69,2 2.85,3 7.18,4 -47.56,5 -96.81,6 0.00,7 12.39,8 -28.81,9 148.96
1 -6.14,2 2.87,3 7.35,4 -84.79,5 -91.91,6 0.00,7 12.25,8 -28.82,9 149.48
1 -6.57,2 2.89,3 7.31,4 71.67,5 -85.78,6 0.00,7 11.99,8 -28.62,9 149.85
1 -6.99,2 2.91,3 7.36,4 104.32,5 -79.65,6 0.00,7 12.04,8 -28.68,9 150.33
1 -7.40,2 2.93,3 7.11,4 -89.81,5 -74.75,6 0.00,7 12.08,8 -28.57,9 150.65
1 -7.79,2 2.94,3 7.32,4 47.04,5 -68.62,6 0.00,7 12.04,8 -28.66,9 151.12
1 -8.17,2 2.96,3 6.96,4 -118.89,5 -62.49,6 0.00,7 12.20,8 -28.68,9 151.44
1 -8.53,2 2.98,3 7.23,4 0.80,5 -57.59,6 0.00,7 12.28,8 -28.56,9 151.95
1 -8.86,2 3.00,3 7.35,4 -67.06,5 -51.46,6 0.00,7 12.25,8 -28.75,9 152.32
1 -9.19,2 3.02,3 7.27,4 -101.83,5 -46.55,6 0.00,7 12.28,8 -28.73,9 152.88
1 -9.49,2 3.04,3 7.49,4 59.55,5 -40.42,6 0.00,7 12.16,8 -28.74,9 153.34
1 -9.78,2 3.06,3 7.28,4 98.33,5 -34.29,6 0.00,7 12.12,8 -28.58,9 153.73
1 -9.81,2 3.08,3 7.08,4 -112.72,5 -28.17,6 0.00,7 12.36,8 -28.52,9 154.18
1 -9.84,2 3.10,3 7.14,4 -21.23,5 -23.26,6 0.00,7 12.47,8 -28.38,9 154.42
1 -9.85,2 3.12,3 7.05,4 58.01,5 -17.13,6 0.00,7 12.48,8 -28.47,9 154.92
1 -10.02,2 3.12,3 7.18,4 136.01,5 -12.23,6 0.00,7 12.44,8 -28.53,9 155.41
1 -10.28,2 3.12,3 7.18,4 -108.39,5 -6.10,6 0.00,7 12.31,8 -28.49,9 155.75
1 -10.26,2 3.14,3 7.47,4 -47.54,5 0.03,6 0.00,7 12.39,8 -28.54,9 156.26
1 -10.23,2 3.16,3 7.45,4 14.52,5 4.94,6 0.00,7 12.61,8 -28.45,9 156.77
1 -10.18,2 3.19,3 7.78,4 -80.30,5 11.07,6 0.00,7 12.63,8 -28.37,9 157.25
1 -10.11,2 3.21,3 8.05,4 21.01,5 17.20,6 0.00,7 12.70,8 -28.52,9 157.68
