0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0
0.00,0.00,0.01,0.10,-0.05,11.71,-0.47,-0.34,0.02,1
0.00,0.00,0.02,0.06,-0.03,11.74,-0.42,-0.38,360.00,2
0.00,-0.00,0.04,0.23,0.11,11.71,-0.30,-0.24,0.15,3
0.00,-0.00,0.05,0.12,-0.09,11.66,-0.25,-0.43,359.86,4
0.00,-0.00,0.07,0.13,-0.03,11.76,-0.26,-0.44,359.84,5
0.00,-0.00,0.08,0.09,-0.01,11.73,-0.21,-0.43,359.84,6
0.00,-0.00,0.10,0.12,-0.01,11.76,-0.11,-0.38,359.78,7
0.00,-0.00,0.11,0.11,-0.03,11.79,-0.24,-0.47,0.15,8
0.00,-0.00,0.12,0.07,-0.04,11.70,-0.23,-0.47,359.71,9
0.00,-0.00,0.14,0.11,-0.05,11.67,-0.15,-0.45,0.05,10
0.00,-0.00,0.15,0.13,-0.07,11.75,-0.14,-0.46,0.08,11
0.00,-0.00,0.17,0.11,-0.04,11.73,-0.20,-0.37,359.83,12
0.00,-0.00,0.18,0.01,-0.01,11.71,-0.17,-0.41,0.03,13
0.00,-0.00,0.20,0.07,-0.01,11.71,-0.17,-0.40,359.86,14
0.00,-0.00,0.21,0.14,-0.07,11.70,-0.14,-0.43,359.98,15
0.00,-0.00,0.22,0.10,-0.06,11.70,-0.14,-0.40,0.12,16
0.00,-0.00,0.24,0.04,-0.03,11.70,-0.15,-0.38,0.10,17
0.00,-0.00,0.25,0.12,-0.06,11.79,-0.15,-0.35,0.17,18
-0.00,-0.00,0.27,0.09,-0.05,11.72,-0.18,-0.37,360.00,19
-0.00,-0.00,0.28,0.01,0.01,11.70,-0.24,-0.37,0.05,20
-0.00,-0.00,0.30,0.04,-0.03,11.77,-0.25,-0.37,0.07,21
-0.00,-0.00,0.31,0.09,-0.03,11.75,-0.18,-0.43,359.98,22
-0.00,-0.00,0.32,0.05,-0.06,11.65,-0.19,-0.42,360.00,23
-0.00,-0.00,0.34,0.04,-0.03,11.72,-0.25,-0.42,0.02,24
-0.01,-0.01,0.35,0.11,-0.07,11.71,-0.17,-0.40,0.14,25
-0.01,-0.01,0.37,0.06,-0.06,11.79,-0.21,-0.40,359.96,26
-0.01,-0.01,0.38,-0.02,-0.08,11.71,-0.16,-0.45,359.96,27
-0.01,-0.01,0.40,0.10,-0.05,11.78,-0.13,-0.45,359.90,28
-0.01,-0.01,0.41,0.06,0.00,11.77,-0.18,-0.41,359.78,29
-0.01,-0.01,0.42,0.09,-0.03,11.78,-0.12,-0.37,0.12,30
-0.01,-0.01,0.44,0.05,-0.06,11.78,-0.18,-0.40,0.03,31
-0.01,-0.01,0.45,0.05,-0.09,11.70,-0.21,-0.41,359.96,32
-0.01,-0.01,0.47,0.09,-0.06,11.71,-0.19,-0.40,359.88,33
-0.01,-0.01,0.48,0.10,-0.11,11.59,-0.15,-0.40,0.03,34
-0.01,-0.01,0.50,0.09,-0.01,11.69,-0.18,-0.41,359.86,35
-0.01,-0.01,0.51,0.11,-0.02,11.68,-0.25,-0.39,359.83,36
-0.01,-0.01,0.52,0.09,-0.05,11.71,-0.18,-0.45,0.03,37
-0.01,-0.01,0.54,0.04,0.04,11.71,-0.18,-0.41,359.66,38
-0.01,-0.01,0.55,0.10,-0.03,11.70,-0.26,-0.31,360.00,39
-0.01,-0.01,0.57,0.11,-0.02,11.70,-0.21,-0.46,359.76,40
-0.01,-0.01,0.58,0.09,-0.05,11.70,-0.21,-0.41,0.20,41
-0.01,-0.01,0.60,0.15,-0.09,11.79,-0.19,-0.38,359.93,42
-0.01,-0.01,0.61,0.10,0.00,11.77,-0.14,-0.47,0.07,43
-0.01,-0.01,0.62,0.15,-0.01,11.71,-0.22,-0.41,0.05,44
-0.01,-0.01,0.64,0.11,-0.06,11.72,-0.17,-0.38,360.00,45
-0.01,-0.01,0.65,0.11,-0.00,11.68,-0.20,-0.44,359.93,46
-0.01,-0.01,0.67,0.11,-0.05,11.74,-0.21,-0.41,359.91,47
-0.01,-0.01,0.68,0.06,-0.14,11.77,-0.15,-0.37,0.07,48
-0.01,-0.01,0.70,0.07,-0.08,11.72,-0.19,-0.39,0.12,49
-0.01,-0.01,0.71,0.02,-0.09,11.69,-0.25,-0.44,359.95,50
-0.01,-0.01,0.72,0.11,-0.07,11.71,-0.21,-0.38,359.83,51
-0.01,-0.01,0.74,0.10,0.02,11.77,-0.14,-0.42,359.98,52
-0.01,-0.01,0.75,0.07,-0.05,11.69,-0.21,-0.40,0.03,53
-0.01,-0.01,0.77,0.09,-0.11,11.72,-0.15,-0.41,0.08,54
-0.01,-0.01,0.78,0.11,0.02,11.70,-0.27,-0.32,359.91,55
-0.01,-0.01,0.79,0.06,-0.06,11.73,-0.20,-0.40,0.15,56
-0.01,-0.01,0.81,0.07,-0.08,11.77,-0.21,-0.40,359.93,57
-0.02,-0.01,0.82,-0.74,0.17,13.67,-0.47,-0.70,359.95,58
-0.02,-0.01,0.84,0.14,-0.07,11.72,-0.20,-0.49,359.96,59
-0.06,-0.01,0.86,-0.13,-0.18,12.19,-0.51,-0.65,359.96,60
